ID,SCHOOL,CONFERENCE,CONFERENCE WEIGHT,ARENA LOCATION LAT,LON,ARENA NAME,ARENA CAPACITY,TEAM ABBREVIATION,ARENA OPENED,FULL NAME
1,Dayton,A-10,Mid,39.735556,-84.2,University of Dayton Arena,13435,,1969,Dayton Flyers
2,Duquesne,A-10,Mid,40.4374,-79.9879,Palumbo Center,4406,,,Duquesne Dukes
3,Fordham,A-10,Mid,40.862148,-73.883824,Rose Hill Gymnasium,3470,,,Fordham Rams
4,George Mason,A-10,Mid,38.826944,-77.309722,Patriot Center,10000,,,George Mason Patriots
5,George Washington,A-10,Mid,38.897755,-77.049329,Charles E. Smith Athletic Center,5000,,,George Washington Colonials
6,La Salle,A-10,Mid,40.039993,-75.15654,Tom Gola Arena,3400,,1998,La Salle Explorers
7,Massachusetts,A-10,Mid,42.389381,-72.533439,William D. Mullins Memorial Center,9493,,,Massachusetts Minutemen
8,Rhode Island,A-10,Mid,41.4875,-71.535556,Ryan Center,7657,,,Rhode Island Rams
9,Richmond,A-10,Mid,37.580701,-77.538987,Robins Center,9071,,,Richmond Spiders
10,Saint Joseph's,A-10,Mid,39.995411,-75.234665,Michael J. Hagan '85 Arena,4200,,,Saint Joseph's Hawks
11,Saint Louis,A-10,Mid,38.63246,-90.22797,Chaifetz Arena,10600,,,Saint Louis Billikens
12,St. Bonaventure,A-10,Mid,42.079428,-78.484998,Reilly Center,5480,,1966,St. Bonaventure Bonnies
13,Virginia Commonwealth,A-10,Mid,37.552918,-77.4529,Stuart C. Siegel Center,7617,,1999,VCU Rams
14,Cincinnati,AAC,High,39.131101,-84.514207,Fifth Third Arena,13176,,1989,Cincinnati Bearcats
15,Connecticut,AAC,High,41.805238,-72.254376,Harry A. Gampel Pavilion,10167,,,Connecticut Huskies
16,Houston,AAC,Mid,29.724722,-95.346944,Hofheinz Pavilion,10000,,,Houston Cougars
17,Louisville,AAC,High,38.2575,-85.753889,KFC Yum! Center,22090,,,Louisville Cardinals
18,Memphis,AAC,Mid,35.138333,-90.050556,FedExForum,18119,,,Memphis Tigers
19,Rutgers,AAC,High,40.525278,-74.441111,Louis Brown Athletic Center,8000,,,Rutgers Scarlet Knights
20,South Florida,AAC,High,28.059236,-82.406472,USF Sun Dome,10411,,,South Florida Bulls
21,Southern Methodist,AAC,Mid,32.840278,-96.780556,Moody Coliseum,8998,,,SMU Mustangs
22,Temple,AAC,Mid,39.979722,-75.158611,Liacouras Center,10206,,,Temple Owls
23,UCF,AAC,Mid,28.6068,-81.1976,UCF Arena,9465,,,UCF Knights
24,Boston College,ACC,High,42.335,-71.1675,Conte Forum,8606,,,Boston College Eagles
25,Clemson,ACC,High,34.680278,-82.846389,Littlejohn Coliseum,10000,,1968,Clemson Tigers
26,Duke,ACC,High,35.997528,-78.942306,Cameron Indoor Stadium,9314,,,Duke Blue Devils
27,Florida State,ACC,High,30.43783,-84.28653,Donald L. Tucker Center,12100,,,Florida State Seminoles
28,Georgia Tech,ACC,High,33.780833,-84.392778,Hank McCamish Pavilion,8600,,,Georgia Tech Yellow Jackets
29,Maryland,ACC,High,38.995417,-76.941556,Comcast Center,17940,,,Maryland Terrapins
30,Miami (Fla.),ACC,High,25.715,-80.279167,BankUnited Center,8000,,,Miami (FL) Hurricanes
31,North Carolina,ACC,High,35.899722,-79.043889,Dean Smith Center,21750,,,North Carolina Tar Heels
32,North Carolina State,ACC,High,35.803333,-78.721944,PNC Arena,19772,,,North Carolina State Wolfpack
33,Notre Dame,ACC,High,41.698443,-86.231292,Edmund P. Joyce Center,9149,,,Notre Dame Fighting Irish
34,Pittsburgh,ACC,High,40.443777,-79.962274,Petersen Events Center,12508,,,Pittsburgh Panthers
35,Syracuse,ACC,High,43.036111,-76.136389,Carrier Dome,35012,,,Syracuse Orange
36,Virginia,ACC,High,38.045958,-78.506925,John Paul Jones Arena,14593,,,Virginia Cavaliers
37,Virginia Tech,ACC,High,37.222222,-80.418889,Cassell Coliseum,9847,,,Virginia Tech Hokies
38,Wake Forest,ACC,High,36.127866,-80.257628,Lawrence Joel Veterans Memorial Coliseum,14665,,,Wake Forest Demon Deacons
39,Albany,America East,Low,42.681667,-73.828333,SEFCU Arena,4538,,1992,Albany Great Danes
40,Binghamton,America East,Low,42.093333,-75.971944,Binghamton University Events Center,5142,,2004,Binghamton Bearcats
41,Hartford,America East,Low,41.802013,-72.716923,Chase Arena at Reich Family Pavilion,4017,,1990,Hartford Hawks
42,Maine,America East,Low,44.903763,-68.66984,Memorial Gymnasium,1340,,,Maine Black Bears
43,Maryland-Baltimore County,America East,Low,39.252899,-76.712267,Retriever Activities Center,4024,,,Maryland-Baltimore County Retrievers
44,New Hampshire,America East,Low,43.138611,-70.938056,Lundholm Gym,3500,,,New Hampshire Wildcats
45,Stony Brook,America East,Low,40.917242,-73.124743,Pritchard Gymnasium,1760,,1967,Stony Brook Seawolves
46,UMass-Lowell,America East,Low,42.655515,-71.324079,Costello Athletic Center,2100,,,Massachusetts-Lowell River Hawks
47,Vermont,America East,Low,44.470264,-73.194705,Patrick Gym,3266,,,Vermont Catamounts
48,E. Tennessee State,Atlantic Sun,Low,36.303611,-82.370833,ETSU/Mountain States Health Alliance Athletic Center,8539,,1977,East Tennessee State Buccaneers
49,Florida Gulf Coast,Atlantic Sun,Low,26.471111,-81.764722,Alico Arena,4500,,2002,FGCU Eagles
50,Jacksonville,Atlantic Sun,Low,30.325749,-81.644908,Jacksonville Veterans Memorial Arena,14091,,,Jacksonville Dolphins
51,Kennesaw State,Atlantic Sun,Low,34.036924,-84.580329,KSU Convocation Center,4800,,,Kennesaw State Owls
52,Lipscomb,Atlantic Sun,Low,36.103833,-86.798836,Allen Arena,5028,,2001,Lipscomb Bisons
53,Mercer,Atlantic Sun,Low,32.829359,-83.651619,Hawkins Arena,3500,,,Mercer Bears
54,North Florida,Atlantic Sun,Low,30.273541,-81.507976,UNF Arena,5800,,,North Florida Ospreys
55,Northern Kentucky,Atlantic Sun,Low,39.032273,-84.458864,The Bank of Kentucky Center,9400,,2008,Northern Kentucky Norse
56,South Carolina Upstate,Atlantic Sun,Low,34.996696,-81.968774,G. B. Hodge Center,818,,,USC Upstate Spartans
57,Stetson,Atlantic Sun,Low,29.039584,-81.301819,Edmunds Center,5000,,,Stetson Hatters
58,Illinois,Big 10,High,40.096259,-88.235956,Assembly Hall,16618,,,Illinois Fighting Illini
59,Indiana,Big 10,High,39.180833,-86.522222,Assembly Hall,17472,,,Indiana Hoosiers
60,Iowa,Big 10,High,41.663611,-91.554444,Carver–Hawkeye Arena,15400,,1983,Iowa Hawkeyes
61,Michigan,Big 10,High,42.265037,-83.746768,Crisler Center,13684,,,Michigan Wolverines
62,Michigan State,Big 10,High,42.728227,-84.492396,Breslin Student Events Center,14797,,1989,Michigan State Spartans
63,Minnesota,Big 10,High,44.976944,-93.228333,Williams Arena,14625,,,Minnesota Golden Gophers
64,Nebraska,Big 10,High,40.830207,-96.697644,Bob Devaney Sports Center,13595,,,Nebraska Cornhuskers
65,Northwestern,Big 10,High,42.066944,-87.692778,Welsh-Ryan Arena,8117,,1952,Northwestern Wildcats
66,Ohio State,Big 10,High,40.007511,-83.025102,Value City Arena,18809,,,Ohio State Buckeyes
67,Penn State,Big 10,High,40.808889,-77.855833,Bryce Jordan Center,15261,,,Penn State Nittany Lions
68,Purdue,Big 10,High,40.433322,-86.916144,Mackey Arena,14123,,,Purdue Boilermakers
69,Wisconsin,Big 10,High,43.06942,-89.396972,Kohl Center,17230,,,Wisconsin Badgers
70,Baylor,Big 12,Mid,31.547903,-97.105969,Ferrell Center,10347,,,Baylor Bears
71,Iowa State,Big 12,High,42.02101,-93.634763,Hilton Coliseum,14356,,,Iowa State Cyclones
72,Kansas,Big 12,High,38.954306,-95.252394,Allen Fieldhouse,16300,,,Kansas Jayhawks
73,Kansas State,Big 12,High,39.200361,-96.593833,Bramlage Coliseum,12528,,,Kansas State Wildcats
74,Oklahoma,Big 12,High,35.187438,-97.444504,Lloyd Noble Center,12000,,,Oklahoma Sooners
75,Oklahoma State,Big 12,High,36.125833,-97.065,Gallagher-Iba Arena,13611,,,Oklahoma State Cowboys
76,TCU,Big 12,High,32.708774,-97.36673,Daniel–Meyer Coliseum,7201,,,TCU Horned Frogs
77,Texas,Big 12,High,30.276958,-97.732216,Frank Erwin Center,16734,,,Texas Longhorns
