Cincinnati,CINCY,cincinnati-bearcats
Connecticut,UCONN,connecticut-huskies
Houston,HOU,houston-cougars
Louisville,LVILLE,louisville-cardinals
Memphis,MEMP,memphis-tigers
Rutgers,RUT,rutgers-scarlet-knights
South Florida,SFLA,south-florida-bulls
Southern Methodist,SMU,southern-methodist-mustangs
Temple,TEMPLE,temple-owls
UCF,UCF,ucf-knights
Albany,ALBANY,albany-great-danes
Binghamton,BING,binghamton-bearcats
Hartford,HARTFD,hartford-hawks
Maine,MAINE,maine-black-bears
Maryland-Baltimore County,UMBC,maryland-baltimore-county-retrievers
New Hampshire,NH,new-hampshire-wildcats
Stony Brook,STNYBRK,stony-brook-seawolves
UMass-Lowell,MASLOW,umass-lowell-river-hawks
Vermont,UVM,vermont-catamounts
Boston College,BC,boston-college-eagles
Clemson,CLEM,clemson-tigers
Duke,DUKE,duke-blue-devils
Florida State,FSU,florida-state-seminoles
Georgia Tech,GATECH,georgia-tech-yellow-jackets
Maryland,MD,maryland-terrapins
Miami (Fla.),MIAMI,miami-fla-hurricanes
North Carolina State,NCST,north-carolina-state-wolfpack
North Carolina,UNC,north-carolina-tar-heels
Notre Dame,ND,notre-dame-fighting-irish
Pittsburgh,PITT,pittsburgh-panthers
Syracuse,CUSE,syracuse-orange
Virginia,UVA,virginia-cavaliers
Virginia Tech,VATECH,virginia-tech-hokies
Wake Forest,WAKE,wake-forest-demon-deacons
E. Tennessee State,ETNST,e-tennessee-state-buccaneers
Florida Gulf Coast,FGC,florida-gulf-coast-eagles
Jacksonville,JVILLE,jacksonville-dolphins
Kennesaw State,KENSAW,kennesaw-state-owls
Lipscomb,LPSCMB,lipscomb-bison
Mercer,MERCER,mercer-bears
North Florida,UNF,north-florida-ospreys
Northern Kentucky,NKY,northern-kentucky
South Carolina Upstate,USCUP,south-carolina-upstate-spartans
Stetson,STETSON,stetson-hatters
Dayton,DAYTON,dayton-flyers
Duquesne,DUQ,duquesne-dukes
Fordham,FORD,fordham-rams
George Mason,GMASON,george-mason-patriots
George Washington,GWASH,george-washington-colonials
La Salle,LSALLE,la-salle-explorers
Massachusetts,UMASS,massachusetts-minutemen
Rhode Island,RI,rhode-island-rams
Richmond,RICH,richmond-spiders
Saint Joseph's,STJOES,saint-josephs-hawks
Saint Louis,STLOU,saint-louis-billikens
St. Bonaventure,STBON,st-bonaventure-bonnies
Virginia Commonwealth,VCU,virginia-commonwealth-rams
Butler,BUTLER,butler-bulldogs
Creighton,CREIGH,creighton-bluejays
DePaul,DEPAUL,depaul-blue-demons
Georgetown,GTOWN,georgetown-hoyas
Marquette,MARQET,marquette-golden-eagles
Providence,PROV,providence-friars
Seton Hall,SETON,seton-hall-pirates
St. John's,STJOHN,st-johns-red-storm
Villanova,NOVA,villanova-wildcats
Xavier,XAVIER,xavier-musketeers
Eastern Washington,EWASH,eastern-washington-eagles
Idaho State,IDST,idaho-state-bengals
Montana,MNTNA,montana-grizzlies
Montana State,MONST,montana-state-bobcats
North Dakota,NDAK,north-dakota-fighting-sioux
Northern Arizona,NAU,northern-arizona-lumberjacks
Northern Colorado,NCOLO,northern-colorado-bears
Portland State,PORTST,portland-state-vikings
Sacramento State,SACST,sacramento-state-hornets
Southern Utah,SUTAH,southern-utah-thunderbirds
Weber State,WEBER,weber-state-wildcats
Charleston Southern,CHARSO,charleston-southern-buccaneers
Coastal Carolina,CSTCAR,coastal-carolina-chanticleers
Gardner-Webb,GWEBB,gardner-webb-bulldogs
NC-Asheville,NCASHV,nc-asheville-bulldogs
Presbyterian,PRESBY,presbyterian-blue-hose
Winthrop,WINTHR,winthrop-eagles
Campbell,CAMP,campbell-fighting-camels
High Point,HIGHPT,high-point-panthers
Liberty,LIB,liberty-flames
Longwood,LONGWD,longwood-lancers
Radford,RADFRD,radford-highlanders
VMI,VMI,vmi-keydets
Illinois,ILL,illinois-fighting-illini
Indiana,IND,indiana-hoosiers
Iowa,IOWA,iowa-hawkeyes
Michigan State,MICHST,michigan-state-spartans
Michigan,MICH,michigan-wolverines
Minnesota,MINN,minnesota-golden-gophers
Nebraska,NEB,nebraska-cornhuskers
Northwestern,NWEST,northwestern-wildcats
Ohio State,OHIOST,ohio-state-buckeyes
Penn State,PSU,penn-state-nittany-lions
Purdue,PURDUE,purdue-boilermakers
Wisconsin,WISC,wisconsin-badgers
Baylor,BAYLOR,baylor-bears
Iowa State,IOWAST,iowa-state-cyclones
Kansas,KANSAS,kansas-jayhawks
Kansas State,KSTATE,kansas-state-wildcats
Oklahoma,OKLA,oklahoma-sooners
Oklahoma State,OKLAST,oklahoma-state-cowboys
TCU,TCU,tcu-horned-frogs
Texas,TEXAS,texas-longhorns
Texas Tech,TXTECH,texas-tech-red-raiders
West Virginia,WVU,west-virginia-mountaineers
Cal Poly,CPOLY,cal-poly-mustangs
